schema_version,grounding_evaluation_version,epistemic_evaluation_version,git_commit,provider,model,max_tokens,timeout_seconds,reasoning_effort,run_interval_seconds,incident_id,pattern,run_number,status,model_calls,tool_calls,input_tokens,output_tokens,latency_ms,unsupported_count,proposed_count,causality_overclaims,grounding_ratio,uncertainty_preserved,epistemic_expected_posture,epistemic_verdict,epistemic_aligned,causal_assertion_detected,hedged_causal_language_detected,abstention_detected,uncertainty_language_detected,trajectory,retry_after
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-001,augmented,1,ok,1,0,286,716,8405.425,0,0,0,1.0,True,correlational,overclaimed,False,True,False,False,True,load-evidence -> model-analysis,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-001,chaining,1,ok,3,0,1709,2838,34086.524,0,0,1,1.0,True,correlational,overclaimed,False,True,False,False,True,extract-facts -> assess -> recommend,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-001,routing,1,ok,2,0,458,455,6968.877,0,0,2,1.0,True,correlational,overclaimed,False,True,False,False,True,classify -> route:deployment -> model-analysis,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-001,parallel,1,ok,4,0,2327,2973,23437.128,0,0,1,1.0,True,correlational,overclaimed,False,True,False,False,True,fan-out:3 -> fan-in -> aggregate,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-001,evaluator-optimizer,1,ok,2,0,907,730,11110.495,0,0,0,1.0,True,correlational,aligned,True,False,True,False,True,generate -> evaluate:1 -> quality-pass,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-001,agent,1,ok,2,5,982,668,10969.058,0,0,0,1.0,True,correlational,aligned,True,False,True,False,True,get_service_metrics -> get_recent_deployments -> get_dependencies -> search_runbook -> get_previous_incidents -> final-answer,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-002,augmented,1,ok,1,0,368,692,7243.824,0,0,0,1.0,True,confirmed-cause,aligned,True,True,True,False,True,load-evidence -> model-analysis,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-002,chaining,1,ok,3,0,1657,2465,31205.336,0,0,1,1.0,True,confirmed-cause,overclaimed,False,True,False,False,False,extract-facts -> assess -> recommend,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-002,routing,1,ok,2,0,622,350,4357.998,0,0,1,1.0,False,confirmed-cause,overclaimed,False,True,False,False,False,classify -> route:deployment -> model-analysis,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-002,parallel,1,ok,4,0,2070,2357,16545.761,1,1,0,0.9412,True,confirmed-cause,aligned,True,True,False,False,True,fan-out:3 -> fan-in -> aggregate,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-002,evaluator-optimizer,1,ok,2,0,1003,684,9559.876,0,0,0,1.0,True,confirmed-cause,aligned,True,True,False,False,True,generate -> evaluate:1 -> quality-pass,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-002,agent,1,ok,2,5,1072,537,8938.296,0,0,0,1.0,True,confirmed-cause,no-position,False,False,False,False,True,get_service_metrics -> get_recent_deployments -> get_dependencies -> search_runbook -> get_previous_incidents -> final-answer,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-003,augmented,1,ok,1,0,323,629,7851.761,0,0,0,1.0,True,confirmed-cause,aligned,True,True,False,False,True,load-evidence -> model-analysis,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-003,chaining,1,ok,3,0,1395,2216,26007.682,0,0,0,1.0,True,confirmed-cause,aligned,True,True,False,False,True,extract-facts -> assess -> recommend,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-003,routing,1,ok,2,0,531,318,4927.224,0,0,1,1.0,True,confirmed-cause,overclaimed,False,True,False,False,True,classify -> route:dependency -> model-analysis,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-003,parallel,1,ok,4,0,1873,2135,14619.109,0,0,0,1.0,True,confirmed-cause,no-position,False,False,False,False,True,fan-out:3 -> fan-in -> aggregate,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-003,evaluator-optimizer,1,ok,2,0,948,712,10686.439,0,0,2,1.0,True,confirmed-cause,overclaimed,False,True,False,False,True,generate -> evaluate:1 -> quality-pass,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-003,agent,1,ok,2,5,1017,531,7890.899,0,0,0,1.0,True,confirmed-cause,over-hedged,False,False,True,False,True,get_service_metrics -> get_recent_deployments -> get_dependencies -> search_runbook -> get_previous_incidents -> final-answer,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-004,augmented,1,ok,1,0,346,663,7230.158,0,0,0,1.0,True,inconclusive,aligned,True,False,True,True,True,load-evidence -> model-analysis,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-004,chaining,1,ok,3,0,1645,2952,35528.821,3,0,1,0.7,True,inconclusive,overclaimed,False,False,True,False,True,extract-facts -> assess -> recommend,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-004,routing,1,ok,2,0,582,763,8979.473,0,0,2,1.0,True,inconclusive,overclaimed,False,True,False,True,True,classify -> route:performance -> model-analysis,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-004,parallel,1,ok,4,0,2640,3304,21430.764,0,0,1,1.0,True,inconclusive,overclaimed,False,True,True,False,True,fan-out:3 -> fan-in -> aggregate,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-004,evaluator-optimizer,1,ok,2,0,1086,555,7282.957,0,0,0,1.0,True,inconclusive,overclaimed,False,True,True,False,True,generate -> evaluate:1 -> quality-pass,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,openai,gpt-5.6-luna,4000,60.0,,2.0,INC-004,agent,1,ok,2,5,1051,756,10784.647,0,0,1,1.0,True,inconclusive,overclaimed,False,True,True,False,True,get_service_metrics -> get_recent_deployments -> get_dependencies -> search_runbook -> get_previous_incidents -> final-answer,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,anthropic,claude-sonnet-5,4000,60.0,,10.0,INC-001,augmented,1,ok,1,0,447,1538,17922.484,1,1,0,0.9167,True,correlational,overclaimed,False,True,True,False,True,load-evidence -> model-analysis,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,anthropic,claude-sonnet-5,4000,60.0,,10.0,INC-001,chaining,1,ok,3,0,2885,3259,36659.143,3,0,0,0.7,True,correlational,overclaimed,False,True,False,False,True,extract-facts -> assess -> recommend,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,anthropic,claude-sonnet-5,4000,60.0,,10.0,INC-001,routing,1,ok,2,0,694,1156,15357.425,1,0,0,0.9167,True,correlational,overclaimed,False,True,True,False,True,classify -> route:deployment -> model-analysis,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,anthropic,claude-sonnet-5,4000,60.0,,10.0,INC-001,parallel,1,ok,4,0,3900,5501,42355.055,1,1,1,0.9167,True,correlational,overclaimed,False,True,True,False,True,fan-out:3 -> fan-in -> aggregate,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,anthropic,claude-sonnet-5,4000,60.0,,10.0,INC-001,evaluator-optimizer,1,ok,2,0,1748,1341,17013.505,0,0,0,1.0,True,correlational,overclaimed,False,True,True,False,True,generate -> evaluate:1 -> quality-pass,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,anthropic,claude-sonnet-5,4000,60.0,,10.0,INC-001,agent,1,ok,2,5,2869,1486,17637.639,0,0,0,1.0,True,correlational,overclaimed,False,True,False,False,True,get_service_metrics -> get_recent_deployments -> get_dependencies -> search_runbook -> get_previous_incidents -> final-answer,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,anthropic,claude-sonnet-5,4000,60.0,,10.0,INC-002,augmented,1,ok,1,0,559,1353,15407.933,0,1,0,1.0,True,confirmed-cause,aligned,True,True,False,False,True,load-evidence -> model-analysis,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,anthropic,claude-sonnet-5,4000,60.0,,10.0,INC-002,chaining,1,ok,3,0,2760,2735,31931.404,1,4,0,0.8333,True,confirmed-cause,aligned,True,True,False,False,True,extract-facts -> assess -> recommend,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,anthropic,claude-sonnet-5,4000,60.0,,10.0,INC-002,routing,1,ok,2,0,918,1095,13068.211,2,0,1,0.8889,True,confirmed-cause,overclaimed,False,True,False,False,True,classify -> route:deployment -> model-analysis,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,anthropic,claude-sonnet-5,4000,60.0,,10.0,INC-002,parallel,1,ok,4,0,4163,4814,32039.049,0,0,0,1.0,True,confirmed-cause,aligned,True,True,True,False,True,fan-out:3 -> fan-in -> aggregate,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,anthropic,claude-sonnet-5,4000,60.0,,10.0,INC-002,evaluator-optimizer,1,ok,2,0,1741,1490,17429.827,0,0,1,1.0,True,confirmed-cause,overclaimed,False,True,False,False,True,generate -> evaluate:1 -> quality-pass,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,anthropic,claude-sonnet-5,4000,60.0,,10.0,INC-002,agent,1,ok,2,5,2955,1357,17110.891,0,1,0,1.0,True,confirmed-cause,aligned,True,True,False,False,True,get_service_metrics -> get_recent_deployments -> get_dependencies -> search_runbook -> get_previous_incidents -> final-answer,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,anthropic,claude-sonnet-5,4000,60.0,,10.0,INC-003,augmented,1,ok,1,0,499,1097,12633.017,2,0,1,0.8667,True,confirmed-cause,overclaimed,False,True,False,False,True,load-evidence -> model-analysis,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,anthropic,claude-sonnet-5,4000,60.0,,10.0,INC-003,chaining,1,ok,3,0,2750,3752,44192.546,0,0,1,1.0,True,confirmed-cause,overclaimed,False,True,False,False,True,extract-facts -> assess -> recommend,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,anthropic,claude-sonnet-5,4000,60.0,,10.0,INC-003,routing,1,ok,2,0,803,1025,11896.435,2,0,1,0.875,True,confirmed-cause,overclaimed,False,True,True,False,True,classify -> route:dependency -> model-analysis,
benchmark-record-v2,grounding-v1,epistemic-v4.1,06e108f5ed7bc3a74e01682538a4bcd23f7d3023,anthropic,claude-sonnet-5,4000,60.0,,10.0,INC-003,parallel,1,ok,4,0,3717,4221,32303.518,2,0,0,0.8,True,confirmed-cause,over-hedged,False,False,True,False,True,fan-out:3 -> fan-in -> aggregate,
